
2005-05-02 21:14:00 0.08
2005-05-02 21:20:25 0.08
2005-05-02 21:33:24 0.08
2005-05-03 15:35:10 0.058
2006-05-13 12:01:06 0.08
2006-05-19 14:03:51 0.055
2006-01-18 00:24:06 0.005
2007-02-23 06:07:30 0.04
2007-02-23 06:14:38 0.17
2007-10-15 16:25:49 0.17
2007-10-15 16:40:41 0.08
2008-05-25 23:33:33 0.35
2008-05-26 00:14:01 0.35
2008-09-10 13:24:49 0.1
2008-09-10 13:33:35 0.1
2008-09-10 13:57:26 0.25
2010-05-17 14:08:08 0.005
2010-09-05 10:24:29 0.005
2010-09-05 10:28:49 0.005
2010-09-05 11:10:39 0.25
2010-10-12 16:59:39 0.08
2010-10-23 12:29:13 0.09
2010-10-23 12:43:46 0.04
2010-12-01 00:12:41 0.08
2010-12-10 08:32:41 0.005
2010-12-20 20:50:10 0.04
2010-12-20 20:53:52 0.04
2011-11-20 03:24:21 0.025
2011-11-20 03:27:55 0.025
2011-11-20 03:30:14 0.025
2011-12-14 12:37:21 0.005
2012-01-16 11:33:27 0.02
2012-05-13 18:54:54 0.75 
2012-05-13 19:47:21 0.75
2012-01-16 11:01:37 0.40
2012-02-19 15:36:45 0.005
2012-05-29 11:00:04 0.005
